2025-11-11T17:23:55.393Z [GET] /api/admin/getallstudent 304 36ms - ::1
2025-11-11T17:24:05.927Z [POST] /api/admin/getnotice 404 29ms - ::1
2025-11-11T17:24:05.928Z [GET] /api/admin/getallfaculty 304 33ms - ::1
2025-11-11T17:24:05.929Z [GET] /api/admin/getalldepartment 304 32ms - ::1
2025-11-11T17:24:05.931Z [GET] /api/admin/getallstudent 304 38ms - ::1
2025-11-11T17:24:05.932Z [GET] /api/admin/getalladmin 304 36ms - ::1
2025-11-11T17:24:07.071Z [GET] /api/admin/getalldepartment 304 28ms - ::1
2025-11-11T17:24:07.073Z [POST] /api/admin/getnotice 404 30ms - ::1
2025-11-11T17:24:07.073Z [GET] /api/admin/getalladmin 304 31ms - ::1
2025-11-11T17:24:07.074Z [GET] /api/admin/getallstudent 304 33ms - ::1
2025-11-11T17:24:07.075Z [GET] /api/admin/getallfaculty 304 33ms - ::1
2025-11-11T17:24:08.203Z [POST] /api/admin/getnotice 404 29ms - ::1
2025-11-11T17:24:08.205Z [GET] /api/admin/getallfaculty 304 34ms - ::1
2025-11-11T17:24:08.205Z [GET] /api/admin/getalladmin 304 33ms - ::1
2025-11-11T17:24:08.206Z [GET] /api/admin/getalldepartment 304 33ms - ::1
2025-11-11T17:24:08.207Z [GET] /api/admin/getallstudent 304 37ms - ::1
2025-11-11T17:24:09.443Z [GET] /api/admin/getalldepartment 304 31ms - ::1
2025-11-11T17:24:09.444Z [GET] /api/admin/getallstudent 304 35ms - ::1
2025-11-11T17:24:09.444Z [GET] /api/admin/getalladmin 304 33ms - ::1
2025-11-11T17:24:09.445Z [GET] /api/admin/getallfaculty 304 35ms - ::1
2025-11-11T17:24:09.445Z [POST] /api/admin/getnotice 404 31ms - ::1
2025-11-11T17:24:10.711Z [GET] /api/admin/getallstudent 304 39ms - ::1
2025-11-11T17:24:10.712Z [GET] /api/admin/getallfaculty 304 34ms - ::1
2025-11-11T17:24:10.712Z [POST] /api/admin/getnotice 404 33ms - ::1
2025-11-11T17:24:10.713Z [GET] /api/admin/getalladmin 304 31ms - ::1
2025-11-11T17:24:10.714Z [GET] /api/admin/getalldepartment 304 31ms - ::1
2025-11-11T17:24:11.909Z [GET] /api/admin/getalldepartment 304 31ms - ::1
2025-11-11T17:24:11.910Z [POST] /api/admin/getnotice 404 36ms - ::1
2025-11-11T17:24:11.910Z [GET] /api/admin/getalladmin 304 33ms - ::1
2025-11-11T17:24:11.911Z [GET] /api/admin/getallstudent 304 36ms - ::1
2025-11-11T17:24:11.922Z [GET] /api/admin/getallfaculty 304 46ms - ::1
2025-11-11T17:24:13.160Z [GET] /api/admin/getallstudent 304 36ms - ::1
